Disciplina,Horário,Local,Professor(a)
Álgebra Linear Computacional,35M23,SB 01,Felipe Antonio Garcia Moreno
Análise e Projeto de Algoritmos,35T45,CI 304,Bruno Petrato Bruck
Análise e Projeto de Algoritmos,35T45,Auditório - T03,Lucidio dos Anjos Formiga Cabral
Análise Multivariada e Aprend. Não Sup.,35T45,CI T06,Sergio de Carvalho Bezerra
Aprendizado Profundo,35T23,Auditório - T03,Tiago Maritan Ugulino de Araujo
Aprendizagem de Máquina,35T23,CI 106,Bruno Jefferson e Gilberto Farias
Aprendizagem de Máquina (Pós),3T2345,PPGICI 306,Leandro Carlos de Souza
Arquitetura de Computadores,35T45,CI 105,Augusto de Holanda Barreto M. Tavares
Arquitetura de Computadores I,24M23,CI 102,Romulo Calado Pantaleao Camara
Arquitetura de Computadores II,24M45,CI 304,A Definir
Avaliação de Desempenho de Sist. Op.,24T23,CI 101,Josilene Aires Moreira
Banco de Dados I,24M45,CI 103,Marcelo Iury de Sousa Oliveira
Banco de Dados I,24M23,CI 304,Marcelo Iury de Sousa Oliveira
Big Data,6M2345,T 07,Raoni Kulesza
Cálculo das Probabilidades I,35M45,CI 104,Kely Diana Villacorta Villacorta
Cálculo das Prob. e Estatística I,35T23,LIEPE 05-06,Ulisses Umbelino dos Anjos
Cálculo Diferencial e Integral I,24M23,CI 103,Frederico de Oliveira Matias
Cálculo Diferencial e Integral I,24M23,CI 105,Manasses Xavier de Souza
Cálculo Diferencial e Integral I,24M45,CI T06,Frederico de Oliveira Matias
Cálculo Diferencial e Integral II,24T45,SB 01,Pedro Antonio Gomez Venegas
Cálculo Diferencial e Integral II,24T23,SB 01,Kelen Cristina Crivelaro Silvestre
Cálculo Diferencial e Integral III,24T45,CI 311,Pedro Antonio Hinojosa Vera
Cálculo Numérico,35M23,CI 304,Gustavo Charles Peixoto de Oliveira
Cálculo Vetorial e Geometria Analítica,35M23,CI 103,Marcio Silva Santos
Cálculo Vetorial e Geometria Analítica,35T23,LIEPE 04,Adriano Alves de Medeiros
Cálculo Vetorial e Geometria Analítica,35T23,LIEPE 07,Milton de Lacerda Oliveira
Circuitos Lógicos I,24M45,LIEPE 07,Jose Antonio Gomes de Lima
Circuitos Lógicos II,24M23,LIEPE Lab Hard.,Veronica Maria Lima Silva
Computadores e Sociedade,4M45,CI 104,Ed Porto Bezerra
Computadores e Sociedade,35M23,CI T06,Ed Porto Bezerra
Computadores e Sociedade,35M45,Auditório - T03,Ed Porto Bezerra
Concepção Estruturada de Circ. Integ.,35M23,LIEPE Lab Hard.,Romulo Calado Pantaleao Camara
Construção de Compiladores I,24T23,CI 103,Andrei de Araujo Formiga
Design de Interação,6T2345,CI 307,Valdecir Becker
Eletricidade e Circuitos p/ Comp. I,35T45,CI 308,Henrique Thadeu Baltar (Moraes)
Eletricidade e Circuitos p/ Comp. I,35M23,CI 311,Mardson Freitas de Amorim
Eletricidade e Circuitos p/ Comp. II,35T23,CI 103,Mardson Freitas de Amorim
Eletrônica Aplicada I,35T23,LIEPE Lab Hard.,Ruy Alberto Pisani Altafim
Eletrônica Aplicada II,24T23,LIEPE Lab Hard.,Hugo Leonardo Davi de S. Cavalcante
Empreendedorismo,6T2345,CI 308,Alisson Vasconcelos de Brito
Engenharia de Sistemas Distribuídos,6T2345,CI 103,Raoni Kulesza
Engenharia de Software,35T45,CI 103,Alan Kelon Oliveira de Moraes
Engenharia de Software,24T45,Auditório - T03,Gledson Elias da Silveira
Equações Diferenciais Ordinárias,35M45,CI 107,Ana Paula Pintado Wyse
Especificação de Requisitos de Soft.,35M23,CI 102,Danielle Rousy Dias Ricarte
Estrutura de Dados,35M23,CI 308,Gabriel da Silva e Gilberto Farias
Estrutura de Dados,24M23,T 07,Liliane dos Santos Machado
Estrutura de Dados,35M45,SB 01,Leandro Carlos de Souza
Estruturas de Dados e Algoritmos II,35T23,SB 01,Lincoln David Nery e Silva
Estruturas de Dados e Compl. de Algo.,6T2345,PPGICI 107,Bruno Bruck e Teobaldo
Física Aplicada à Computação I,24T23,CI 308,Alexandre da Silva Rosas
Física Aplicada à Computação I,24M23,LIEPE 07,Alexandre da Silva Rosas
Física Aplicada à Computação II,35M45,CI 311,Alexandre da Silva Rosas
Física Experimental para Computação,6M23,LIEPE 04,Henrique Thadeu Baltar (Moraes)
Gerenciamento de Projeto de Software,24M45,CI 101,Danielle Rousy Dias Ricarte
Inferência Estatística,24M23,CI 104,Roberto Quirino do Nascimento
Inovação de Base Científica-Tec.,6M2345,CI T06,Alisson Vasconcelos de Brito
Inteligência Computacional,35T45,CI 307,Jose Miguel Aroztegui Massera
Inteligência Computacional,24T23,CI 107,Jose Miguel Aroztegui Massera
